title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated
新山温馨疗养别墅EHA Golfview Eldercare Mansion (Johor Jaya) #1 Nursing Home Johor Bahru,eha-golfview-eldercare-mansion-johor-jaya-1-nursing-home-joh,/facilities/eha-golfview-eldercare-mansion-johor-jaya-1-nursing-home-joh,Johor Bahru,+60 19-728 3697,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,70,1.5251689,103.8062769,"https://www.google.com/maps/place/%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru/@1.5251689,103.8062769,14z/data=!4m8!1m2!2m1!1s%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d9151a31c7f:0x88816d8805d479ff!8m2!3d1.5251689!4d103.8062769",2026-04-29
Master Care Centre,master-care-centre,/facilities/master-care-centre,,+60 11-1080 1805,,Call for pricing,,,,,,,,Yes,4.8,21,1.4660705,103.7554336,"https://www.google.com/maps/place/Master+Care+Centre/@1.4660704999999998,103.75543359999999,14z/data=!4m8!1m2!2m1!1sMaster+Care+Centre!3m4!1s0x31da12c7b467f8e3:0xdfa6fb7841db9bb3!8m2!3d1.4660704999999998!4d103.75543359999999",2026-04-29
Rebina House Care Centre,rebina-house-care-centre,/facilities/rebina-house-care-centre,"Taman Kebun Teh, Johor Bahru",+60 7-335 8963,https://www.rebinasunrise.com/,Call for pricing,,,Nursing Home + Rehabilitation,"nursing_care, physio, doctor_visit, activities, palliative",All,"English, BM",Unknown,Yes,4.8,17,1.4901116,103.7582487,"https://www.google.com/maps/place/Rebina+House+Care+Centre/@1.4901115999999999,103.7582487,14z/data=!4m8!1m2!2m1!1sRebina+House+Care+Centre!3m4!1s0x31da6d3bb269d2c1:0xa2cf4e8bf38927d3!8m2!3d1.4901115999999999!4d103.7582487",2026-04-29
EHA Lakeview Eldercare Mansion - 新山湖畔疗养别墅 (Permas Branch) #1 Nursing Home Johor Bahru,eha-lakeview-eldercare-mansion-permas-branch-1-nursing-home,/facilities/eha-lakeview-eldercare-mansion-permas-branch-1-nursing-home,Johor Bahru,+60 19-728 3697,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,40,1.4998012,103.7909861,"https://www.google.com/maps/place/EHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru/@1.4998011999999998,103.7909861,14z/data=!4m8!1m2!2m1!1sEHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d2722a88637:0xb0ad0dbceaa53234!8m2!3d1.4998011999999998!4d103.7909861",2026-04-29
EHA Parkview ElderCare (Perling) 新山温馨疗养院 #1 Nursing Home Johor Bahru,eha-parkview-eldercare-perling-1-nursing-home-johor-bahru,/facilities/eha-parkview-eldercare-perling-1-nursing-home-johor-bahru,Johor Bahru,+60 18-218 2727,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,85,1.479107,103.68915,"https://www.google.com/maps/place/EHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru/@1.479107,103.68915,14z/data=!4m8!1m2!2m1!1sEHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da7376fed2a615:0xd5232667f1a974b6!8m2!3d1.479107!4d103.68915",2026-04-29
Nursing Home Johor Bahru | Loving Mansion Care Centre,nursing-home-johor-bahru-loving-mansion-care-centre,/facilities/nursing-home-johor-bahru-loving-mansion-care-centre,Johor Bahru,+60 12-306 5355,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"From RM 2,500/month","RM 2,500",,Nursing Home + Rehabilitation + Stroke Recovery,"Geriatric/Orthopedic/Neurology Physio, 24/7 nursing",,,,Yes,5.0,17,1.4962887,103.844365,"https://www.google.com/maps/place/Nursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre/@1.4962887,103.844365,14z/data=!4m8!1m2!2m1!1sNursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre!3m4!1s0x31da6ba719676203:0xe525f81c903dee21!8m2!3d1.4962887!4d103.844365",2026-04-29
ECON Medicare Centre & Nursing Home - Taman Perling Branch 宜康医疗保健中心与疗养院 - 柏伶分行,econ-medicare-centre-nursing-home-taman-perling-branch,/facilities/econ-medicare-centre-nursing-home-taman-perling-branch,"Taman Perling, Johor Bahru",+60 12-642 6046,https://www.facebook.com/econperling/,Call for pricing,,,Nursing Home + Assisted Living + Rehabilitation,"nursing_care, rehab, social_activities",,,,Yes,4.5,152,1.498181,103.680426,"https://www.google.com/maps/place/ECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C/@1.498181,103.680426,14z/data=!4m8!1m2!2m1!1sECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C!3m4!1s0x31da731fa4d68ad7:0xd3f34bd4a3e586a2!8m2!3d1.498181!4d103.680426",2026-04-29
Spring Valley HomeCare (Nursing Home),spring-valley-homecare-nursing-home,/facilities/spring-valley-homecare-nursing-home,Johor Bahru,+60 19-754 6410,https://www.springvalleyhomecare.com.my/,"Shared: RM 1,700 | Private: RM 1,850","RM 1,700","RM 1,850",Nursing Home + Rehabilitation,"laundry, physio, activities",Chinese-run,"English, BM",Unknown,Yes,4.2,38,1.5293015,103.7188257,"https://www.google.com/maps/place/Spring+Valley+HomeCare+%28Nursing+Home%29/@1.5293014999999999,103.7188257,14z/data=!4m8!1m2!2m1!1sSpring+Valley+HomeCare+%28Nursing+Home%29!3m4!1s0x31da7271939840d1:0x20bd940f24d37bc5!8m2!3d1.5293014999999999!4d103.7188257",2026-04-29
Woon Ho Family Care Centre,woon-ho-family-care-centre,/facilities/woon-ho-family-care-centre,"Kempas Baru, Johor Bahru",+60 19-952 2567,https://woonhofamilycarecentre.com.my/,"From RM 2,000/month","RM 2,000",,Nursing Home + Assisted Living + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport, activities, dementia_care",Chinese-run,BM,Unknown,Yes,5.0,19,1.5321392,103.7170315,"https://www.google.com/maps/place/Woon+Ho+Family+Care+Centre/@1.5321392,103.71703149999999,14z/data=!4m8!1m2!2m1!1sWoon+Ho+Family+Care+Centre!3m4!1s0xafa8906dec55e22b:0x36a7cb9e2c95583f!8m2!3d1.5321392!4d103.71703149999999",2026-04-29
FCC Family Care Centre Johor Bahru,fcc-family-care-centre-johor-bahru,/facilities/fcc-family-care-centre-johor-bahru,Johor Bahru,+60 17-709 7909,http://familycarecentre.co/,"Shared: RM 600 | Private: RM 4,300",RM 600,"RM 4,300",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport, activities, dementia_care, palliative",Chinese-run,"BM, Mandarin",Unknown,Yes,4.9,137,1.6070566,103.8149184,"https://www.google.com/maps/place/FCC+Family+Care+Centre+Johor+Bahru/@1.6070566,103.8149184,14z/data=!4m8!1m2!2m1!1sFCC+Family+Care+Centre+Johor+Bahru!3m4!1s0x31da6f1389eef093:0xc955371b0fc78728!8m2!3d1.6070566!4d103.8149184",2026-04-29
Multicare Nursing Home Johor,multicare-nursing-home-johor,/facilities/multicare-nursing-home-johor,,+60 12-650 1805,https://www.multicarehomes.com/,"Shared: RM 1,800 | Private: RM 3,000","RM 1,800","RM 3,000",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport, activities, dementia_care, palliative",All,BM,Unknown,Yes,5.0,9,1.4848194,103.7586953,"https://www.google.com/maps/place/Multicare+Nursing+Home+Johor/@1.4848194,103.7586953,14z/data=!4m8!1m2!2m1!1sMulticare+Nursing+Home+Johor!3m4!1s0x31da6dacb86da08d:0xc84532936303ff76!8m2!3d1.4848194!4d103.7586953",2026-04-29
OroCare Sdn Bhd Nursing Home,orocare-sdn-bhd-nursing-home,/facilities/orocare-sdn-bhd-nursing-home,,+60 7-223 8988,,Call for pricing,,,,,,,,,5.0,3,1.4703118,103.7579418,"https://www.google.com/maps/place/OroCare+Sdn+Bhd+Nursing+Home/@1.4703118,103.7579418,14z/data=!4m8!1m2!2m1!1sOroCare+Sdn+Bhd+Nursing+Home!3m4!1s0x31da12c8c55530c5:0x807a1682c97f3aac!8m2!3d1.4703118!4d103.7579418",2026-04-29
Anzaletta Living Care Centre | Old Age Home in Johor Bahru | Aged Care Service | Nursing Home,anzaletta-living-care-centre-old-age-home-in-johor-bahru-age,/facilities/anzaletta-living-care-centre-old-age-home-in-johor-bahru-age,Johor Bahru,+60 16-681 1765,https://anzalettacarecentre.com/,Call for pricing,,,Nursing Home + Assisted Living + Rehabilitation,"nursing_care, physio, doctor_visit, transport, activities",All,"English, BM",Unknown,Yes,4.7,12,1.4732733,103.7331237,"https://www.google.com/maps/place/Anzaletta+Living+Care+Centre+%7C+Old+Age+Home+in+Johor+Bahru+%7C+Aged+Care+Service+%7C+Nursing+Home/@1.4732733,103.7331237,14z/data=!4m8!1m2!2m1!1sAnzaletta+Living+Care+Centre+%7C+Old+Age+Home+in+Johor+Bahru+%7C+Aged+Care+Service+%7C+Nursing+Home!3m4!1s0x31da12d73007f4d5:0xf1a6ef56c82a2449!8m2!3d1.4732733!4d103.7331237",2026-04-29
Genesis Life Care Centre JB,genesis-life-care-centre-jb,/facilities/genesis-life-care-centre-jb,Johor Bahru,+60 19-282 0457,https://genesiscare.com.my/nursing-home-in-johor-bahru/,"From RM 2,500/month","RM 2,500",,Nursing Home + Rehabilitation,"meals, nursing_care, physio, activities, dementia_care, palliative",All,BM,Unknown,Yes,4.4,14,1.4885832,103.7585894,"https://www.google.com/maps/place/Genesis+Life+Care+Centre+JB/@1.4885831999999999,103.75858939999999,14z/data=!4m8!1m2!2m1!1sGenesis+Life+Care+Centre+JB!3m4!1s0x31da6da3639c71c1:0xb6147709c380e304!8m2!3d1.4885831999999999!4d103.75858939999999",2026-04-29
PRESTIGE RESIDENCE CARE (GROUP) SDN BHD,prestige-residence-care-group-sdn-bhd,/facilities/prestige-residence-care-group-sdn-bhd,,+60 11-5991 9916,http://www.prestigecare.com.my/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport, activities, dementia_care",All,BM,Unknown,Yes,4.4,22,1.4630126,103.7423163,"https://www.google.com/maps/place/PRESTIGE+RESIDENCE+CARE+%28GROUP%29+SDN+BHD/@1.4630125999999999,103.7423163,14z/data=!4m8!1m2!2m1!1sPRESTIGE+RESIDENCE+CARE+%28GROUP%29+SDN+BHD!3m4!1s0x31da131f43d9a655:0xa394833143c105c1!8m2!3d1.4630125999999999!4d103.7423163",2026-04-29
Evergreen ElderCare Centre EECMSIA,evergreen-eldercare-centre-eecmsia,/facilities/evergreen-eldercare-centre-eecmsia,,+60 14-338 4549,http://www.eecmsia.com/,Call for pricing,,,Nursing Home + Day Care,"meals, laundry, nursing_care, doctor_visit, transport, activities, dementia_care, palliative",Chinese-run,English,Unknown,Yes,4.8,16,1.5299613,103.7001131,"https://www.google.com/maps/place/Evergreen+ElderCare+Centre+EECMSIA/@1.5299612999999999,103.7001131,14z/data=!4m8!1m2!2m1!1sEvergreen+ElderCare+Centre+EECMSIA!3m4!1s0x31da725907354335:0xc3c84484535af4c!8m2!3d1.5299612999999999!4d103.7001131",2026-04-29
Jeta Care nursing home,jeta-care-nursing-home,/facilities/jeta-care-nursing-home,"Kulai, Johor",+60 18-769 5688,http://www.jetacare.com/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care, palliative",All,"English, BM, Mandarin",Yes,Yes,4.5,50,1.6551181,103.609611,"https://www.google.com/maps/place/Jeta+Care+nursing+home/@1.6551181,103.609611,14z/data=!4m8!1m2!2m1!1sJeta+Care+nursing+home!3m4!1s0x31da79bcf98d21f3:0xc317cc9f09bd667e!8m2!3d1.6551181!4d103.609611",2026-04-29
EHA Sunview ElderCare (Kempas) 新山温馨疗养别墅 #1 Nursing Home Johor Bahru,eha-sunview-eldercare-kempas-1-nursing-home-johor-bahru,/facilities/eha-sunview-eldercare-kempas-1-nursing-home-johor-bahru,"Kempas, Johor Bahru",+60 18-788 1686,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,5.0,24,1.5370126,103.693598,"https://www.google.com/maps/place/EHA+Sunview+ElderCare+%28Kempas%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%231+Nursing+Home+Johor+Bahru/@1.5370126,103.693598,14z/data=!4m8!1m2!2m1!1sEHA+Sunview+ElderCare+%28Kempas%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da73a7b38c3443:0x63b8e2602e1875d!8m2!3d1.5370126!4d103.693598",2026-04-29
居銮疗养院 -EHA Elder Care Home (Kluang) 温馨老家 -Licensed and Certified by Government,eha-elder-care-home-kluang-licensed-and-certified-by-govern,/facilities/eha-elder-care-home-kluang-licensed-and-certified-by-govern,Kluang,+60 19-713 3697,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,5.0,33,2.0477844,103.3387535,"https://www.google.com/maps/place/%E5%B1%85%E9%8A%AE%E7%96%97%E5%85%BB%E9%99%A2+-EHA+Elder+Care+Home+%28Kluang%29+%E6%B8%A9%E9%A6%A8%E8%80%81%E5%AE%B6+-Licensed+and+Certified+by+Government/@2.0477844,103.3387535,14z/data=!4m8!1m2!2m1!1s%E5%B1%85%E9%8A%AE%E7%96%97%E5%85%BB%E9%99%A2+-EHA+Elder+Care+Home+%28Kluang%29+%E6%B8%A9%E9%A6%A8%E8%80%81%E5%AE%B6+-Licensed+and+Certified+by+Government!3m4!1s0x31d06d6d8361976d:0x954b73d8404d25cd!8m2!3d2.0477844!4d103.3387535",2026-04-29
EVERLOVE ELDERLY CARE HOME JB,everlove-elderly-care-home-jb,/facilities/everlove-elderly-care-home-jb,Johor Bahru,+60 14-900 2466,,Call for pricing,,,,,,,,Yes,5.0,4,1.5661038,103.5793794,"https://www.google.com/maps/place/EVERLOVE+ELDERLY+CARE+HOME+JB/@1.5661037999999998,103.5793794,14z/data=!4m8!1m2!2m1!1sEVERLOVE+ELDERLY+CARE+HOME+JB!3m4!1s0x31da77101c4229d7:0x25491fe12b0623d7!8m2!3d1.5661037999999998!4d103.5793794",2026-04-29
Gentle Hill Elder Care,gentle-hill-elder-care,/facilities/gentle-hill-elder-care,,+60 16-822 2599,http://gentlehill.my/,Call for pricing,,,Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport, activities, dementia_care",Muslim-friendly,"English, BM",Unknown,Yes,4.9,43,1.6425381,103.6190332,"https://www.google.com/maps/place/Gentle+Hill+Elder+Care/@1.6425381,103.61903319999999,14z/data=!4m8!1m2!2m1!1sGentle+Hill+Elder+Care!3m4!1s0x31da795d7130cbc3:0x948d0e65c1487d84!8m2!3d1.6425381!4d103.61903319999999",2026-04-29
Pusat Jagaan Warga Emas Harmoni Cemerlang,pusat-jagaan-warga-emas-harmoni-cemerlang,/facilities/pusat-jagaan-warga-emas-harmoni-cemerlang,,+60 18-219 4809,,Call for pricing,,,,,,,,Yes,5.0,23,1.6341418,103.6215037,"https://www.google.com/maps/place/Pusat+Jagaan+Warga+Emas+Harmoni+Cemerlang/@1.6341417999999999,103.62150369999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Warga+Emas+Harmoni+Cemerlang!3m4!1s0x31da793726e75cbf:0xdc3ec26a640dcaa3!8m2!3d1.6341417999999999!4d103.62150369999999",2026-04-29
G.M Care Centre,gm-care-centre,/facilities/gm-care-centre,,+60 12-774 7373,,Call for pricing,,,,,,,,Yes,5.0,5,1.9985377,103.3238513,"https://www.google.com/maps/place/G.M+Care+Centre/@1.9985377,103.3238513,14z/data=!4m8!1m2!2m1!1sG.M+Care+Centre!3m4!1s0x31d06e78ba57aca5:0xcc4c582b4ae2a435!8m2!3d1.9985377!4d103.3238513",2026-04-29
Pusat Jagaan V.R Melodies Old Folks Home,pusat-jagaan-vr-melodies-old-folks-home,/facilities/pusat-jagaan-vr-melodies-old-folks-home,,+60 7-598 9676,,Call for pricing,,,,,,,,Yes,5.0,2,1.6258306,103.6319165,"https://www.google.com/maps/place/Pusat+Jagaan+V.R+Melodies+Old+Folks+Home/@1.6258306,103.63191649999999,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+V.R+Melodies+Old+Folks+Home!3m4!1s0x31d08287edba8145:0xed78b5c2e0b9af8c!8m2!3d1.6258306!4d103.63191649999999",2026-04-29
Pusat Jagaan Pawana Sutera,pusat-jagaan-pawana-sutera,/facilities/pusat-jagaan-pawana-sutera,,+60 7-772 0889,,Call for pricing,,,,,,,,Yes,4.0,2,2.0544444,103.3518205,"https://www.google.com/maps/place/Pusat+Jagaan+Pawana+Sutera/@2.0544444,103.3518205,14z/data=!4m8!1m2!2m1!1sPusat+Jagaan+Pawana+Sutera!3m4!1s0x31d06d7be94943fb:0x27e08c5c3592f07b!8m2!3d2.0544444!4d103.3518205",2026-04-29
Miriam Home- prefer donation address,miriam-home-prefer-donation-address,/facilities/miriam-home-prefer-donation-address,,+60 7-773 0580,,Call for pricing,,,,,,,,Yes,4.8,5,2.0224954,103.3059963,"https://www.google.com/maps/place/Miriam+Home-+prefer+donation+address/@2.0224954,103.30599629999999,14z/data=!4m8!1m2!2m1!1sMiriam+Home-+prefer+donation+address!3m4!1s0x31d06c319acb5c19:0xfde7359d432143e!8m2!3d2.0224954!4d103.30599629999999",2026-04-29
Good Shepherd Care Centre,good-shepherd-care-centre,/facilities/good-shepherd-care-centre,,+60 7-652 5264,,Call for pricing,,,,,,,,,5.0,1,1.65939,103.519707,"https://www.google.com/maps/place/Good+Shepherd+Care+Centre/@1.65939,103.519707,14z/data=!4m8!1m2!2m1!1sGood+Shepherd+Care+Centre!3m4!1s0x31d082f2c64484e5:0x3f4f4cea5035cf07!8m2!3d1.65939!4d103.519707",2026-04-29
Noble Care,noble-care,/facilities/noble-care,"Tampoi, Johor Bahru",+60 16-778 6795,http://www.mynoblecare.com/,Call for pricing,,,Nursing Home + Assisted Living + Rehabilitation,"meals, nursing_care, physio, doctor_visit, activities, dementia_care, palliative",All,BM,Unknown,Yes,4.4,16,1.4996728,103.7035238,"https://www.google.com/maps/place/Noble+Care/@1.4996728,103.7035238,14z/data=!4m8!1m2!2m1!1sNoble+Care!3m4!1s0x31da73bf188fc383:0xc734296cb478b8be!8m2!3d1.4996728!4d103.7035238",2026-04-29
Green Acres Elderly Care Centre Managed By Green Acres Residence Care (Group) Sdn. Bhd.,green-acres-elderly-care-centre-managed-by-green-acres-resid,/facilities/green-acres-elderly-care-centre-managed-by-green-acres-resid,,+60 11-5991 9916,https://www.greenacreshome.com/,Call for pricing,,,Nursing Home + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport",All,BM,Unknown,Yes,4.8,4,1.5367665,103.6994563,"https://www.google.com/maps/place/Green+Acres+Elderly+Care+Centre+Managed+By+Green+Acres+Residence+Care+%28Group%29+Sdn.+Bhd./@1.5367665,103.6994563,14z/data=!4m8!1m2!2m1!1sGreen+Acres+Elderly+Care+Centre+Managed+By+Green+Acres+Residence+Care+%28Group%29+Sdn.+Bhd.!3m4!1s0x31da72392c3e7e2f:0x4177f0ae3052be4a!8m2!3d1.5367665!4d103.6994563",2026-04-29
Lee Nursing 李护理疗养院,lee-nursing,/facilities/lee-nursing,,+60 12-777 6673,http://www.facebook.com/Lee-Nursing-Home-101030911675780,Call for pricing,,,,,,,,Yes,3.0,2,1.5303892,103.6556089,"https://www.google.com/maps/place/Lee+Nursing+%E6%9D%8E%E6%8A%A4%E7%90%86%E7%96%97%E5%85%BB%E9%99%A2/@1.5303892,103.65560889999999,14z/data=!4m8!1m2!2m1!1sLee+Nursing+%E6%9D%8E%E6%8A%A4%E7%90%86%E7%96%97%E5%85%BB%E9%99%A2!3m4!1s0x31da73bd148b78e1:0xa4f1e6f16585128!8m2!3d1.5303892!4d103.65560889999999",2026-04-29
Lotus Ville Care Centre,lotus-ville-care-centre,/facilities/lotus-ville-care-centre,,+60 17-737 1233,https://lotusville.org.my/,Call for pricing,,,,,,,,Yes,4.0,8,1.5490075,103.800935,"https://www.google.com/maps/place/Lotus+Ville+Care+Centre/@1.5490074999999999,103.800935,14z/data=!4m8!1m2!2m1!1sLotus+Ville+Care+Centre!3m4!1s0x31da6d9ab746c9b3:0x17a5fd5a05d70ab3!8m2!3d1.5490074999999999!4d103.800935",2026-04-29
"Yong An Old Folks Care Centre - Ulu Tiram, JB",yong-an-old-folks-care-centre-ulu-tiram-jb,/facilities/yong-an-old-folks-care-centre-ulu-tiram-jb,Ulu Tiram,+60 10-222 2566,https://yongan-evercare.com/,"Shared: RM 2,400 | Private: RM 2,700","RM 2,400","RM 2,700",Nursing Home + Day Care + Rehabilitation,"meals, nursing_care, physio, doctor_visit, activities",Chinese-run,"BM, Mandarin",Unknown,Yes,4.0,5,1.5945624,103.8174072,"https://www.google.com/maps/place/Yong+An+Old+Folks+Care+Centre+-+Ulu+Tiram%2C+JB/@1.5945623999999998,103.81740719999999,14z/data=!4m8!1m2!2m1!1sYong+An+Old+Folks+Care+Centre+-+Ulu+Tiram%2C+JB!3m4!1s0x31da6f12421a60cb:0x4c5b67870b0ffcd2!8m2!3d1.5945623999999998!4d103.81740719999999",2026-04-29
AustinLoyal Care Centre,austinloyal-care-centre,/facilities/austinloyal-care-centre,,+60 19-219 9828,http://www.austinloyal.com/,Call for pricing,,,Nursing Home,,All,BM,Unknown,Yes,1.9,260,1.5608227,103.7809224,"https://www.google.com/maps/place/AustinLoyal+Care+Centre/@1.5608227,103.7809224,14z/data=!4m8!1m2!2m1!1sAustinLoyal+Care+Centre!3m4!1s0x31da6e860a5a75e9:0x9525851a59f20c00!8m2!3d1.5608227!4d103.7809224",2026-04-29
