title,state,area,phone,website,licence_number,care_category
AX Nursing Home PLT,Johor,Johor Bahru,+60 11-5999 9905,https://web.facebook.com/axnursinghome,,Nursing Home
Amitabha Foundation (Amitabha Malaysia),Johor,Johor Bahru,+60 7-213 2448,https://en.amitabhamalaysia.org/,,Day Care
Anzaletta Living Care Centre | Old Age Home in Johor Bahru | Aged Care Service | Nursing Home,Johor,Johor Bahru,+60 16-681 1765,https://anzalettacarecentre.com/,,Nursing Home
AustinLoyal Care Centre,Johor,Johor Bahru,+60 19-219 9828,http://www.austinloyal.com/,,Nursing Home
ECON Medicare Centre & Nursing Home - Taman Perling Branch,Johor,"Taman Perling, Johor Bahru",+60 7-234 4680,https://econhealthcare.my,,Nursing Home
EHA Golfview Eldercare Mansion (Johor Jaya) ,Johor,Johor Bahru,+60197283697,https://ehaeldercare.com.my/our-locations/eha-golfview-eldercare-mansion-johor-jaya/,,Mixed
EHA Lakeview Eldercare Mansion (Permas Branch),Johor,Johor Bahru,+60197281686,https://ehaeldercare.com.my/our-locations/eha-lakeview-eldercare-mansion-permas-jaya/,,Mixed
EHA Parkview ElderCare (Perling),Johor,Johor Bahru,+60 18-218 2727,https://ehaeldercare.com.my/our-locations/eha-parkview-eldercare-perling-jb/,,Mixed
EHA Sunview ElderCare (Kempas) ,Johor,"Kempas, Johor Bahru",+60187881686,https://ehaeldercare.com.my/eha-sunview-eldercare-kempas/,,Mixed
Elderia Care Center,Johor,Batu Pahat,+60 11-2803 0620,https://elderiacare.wixsite.com/elderia-care-center,,Mixed
Elim Nursing Home Batu Pahat,Johor,"Batu Pahat, Johor",+60 11-1079 1685,https://www.facebook.com/elimnursinghomebp,,Nursing Home
FCC Family Care Centre,Johor,Johor Bahru,,https://www.familycarecentre.co,,Day Care
GOLDEN AGE CARE CENTRE TANGKAK,Johor,Tangkak,+60 18-952 7711,https://gacc.com.my/,,Mixed
Genesis Life Care Centre JB,Johor,Johor Bahru,+60 19-282 0457,https://genesiscare.com.my/nursing-home-in-johor-bahru/,,Nursing Home
Green Acres Elderly Care Centre Managed By Green Acres Residence Care (Group) Sdn. Bhd.,Johor,Johor Bahru,+60 11-5991 9916,https://www.greenacreshome.com/,,Nursing Home
Green Acres Home Care,Johor,Kim Teng Park,07-2213393,https://www.greenacreshome.com/,,Nursing Home
Green Acres Home Care Centre- Managed By Green Acres Residence Care (Group) Sdn. Bhd.,Johor,Johor Bahru,+60 11-5991 9916,https://www.greenacreshome.com/,,Nursing Home
Green Garden Care Center Sdn Bhd,Johor,Pontian District,+60 7-686 9800,http://www.greengarden.com.my/,,Nursing Home
Hang Nursing Home (Gelang Patah Branch),Johor,"Gelang Patah, Johor Bahru",+60 12-766 0927,https://m.facebook.com/pusatjagaanhang/,,Nursing Home
Haywood Senior Living Medini Johor Bahru,Johor,Johor Bahru (Medini / Iskandar Puteri),+60 11-5587 9788,https://haywoodliving.co,,Assisted Living
Healthlife Old Folks Home,Johor,"Batu Pahat, Johor",+60 19-769 9129,http://www.aixinliauyang.yolasite.com/,,Nursing Home
Hibiscus Serenity Care Centre (Larkin),Johor,Johor Bahru,+60 12-777 6673,https://www.hibiscus-care.com/,,Mixed
JB Care Centre,Johor,Taman Sri Tebrau,07-3331999,http://www.jbcarecentre.com/usr/page.aspx?pgid=2,,Nursing Home
Lee Nursing ,Johor,"Skudai, Johor Bahru",+60 12-777 6673,https://www.leenursinghome.com,,Nursing Home
Lotus Ville Care Centre,Johor,Johor Bahru,+60 17-737 1233,https://lotusville.org.my/,,Nursing Home
Master Nursing Care Centre @Daya,Johor,Johor Bahru,+60 11-1080 1805,https://www.masternursingcare.com,,Nursing Home
Multicare Nursing Home Johor,Johor,Johor Bahru,+60 12-650 1805,https://www.multicarehomes.com/,,Mixed
PRESTIGE RESIDENCE CARE (GROUP) SDN BHD,Johor,Johor Bahru,+60 11-5991 9916,http://www.prestigecare.com.my/,,Mixed
Pine Tree Home Care Centre,Johor,Kampung Dalam,+60 19-776 6666,https://www.facebook.com/pages/category/Nursing-Home/Pine-Tree-Home-Care-Centre-102995054848258/,,Nursing Home
Pusat Jagaan Impian Syimah (Jalan Kemuncak),Johor,Johor Bahru,+60 13-750 7134,https://www.facebook.com/PusatJagaanImpianSyimah,,Nursing Home
Pusat Jagaan Orang Tua Yeo JB,Johor,Johor Bahru,+60 16-717 3127,https://www.facebook.com/gracehome.yeo,,Nursing Home
Pusat Jagaan Rumah Sejahtera Batu Pahat,Johor,Batu Pahat,07-4322706,https://www.facebook.com/oldfolkshomebp/,,Nursing Home
Pusat Jagaan Sri Sentosa,Johor,Taman Sentosa,07-7718460,https://klangsentosaoldfolkshome.blogspot.my/,,Nursing Home
Pusat Jagaan Warga Emas Nur Ehsan,Johor,"Kempas Baru, Johor Bahru",+60 7-232 6415,https://m.facebook.com/pages/category/Public-Service/Pusat-Jagaan-Warga-Emas-Nur-Ehsan-1051759248276730/,,Nursing Home
Pusat Jagaan Wargatua Parit Bilal,Johor,"Batu Pahat, Johor",+60 11-1682 6865,https://www.facebook.com/profile.php%3Fid%3D100063647223251,,Nursing Home
Pusat Perjagaan Orang Tua Ren Ai,Johor,"Senai, Kulai, Johor",+60 7-599 1944,https://www.facebook.com/RenAiSenai/,,Nursing Home
Pusat Warga Emas Hillville,Johor,Johor,07-357 8500,https://www.facebook.com/HillvilleAgedCareHome/,,Nursing Home
Rebina House Care Centre,Johor,"Taman Kebun Teh, Johor Bahru",+60 7-335 8963,https://www.rebinasunrise.com/,,Nursing Home
Rumah Seri Kenangan- Johor Bahru,Johor,Kampung Ungku Mohsin,07-2371737,http://www.jkm.gov.my/jkm/index.php?r=portal/left&#038;id=M2k3Q2xST0JJWE9Qa2Z2L253VDl2dz09,,Nursing Home
Seniora Elderly Day Care Johor Bahru,Johor,Johor Bahru,,https://www.seniora.com.my,,Day Care
Spring Valley HomeCare (Nursing Home),Johor,Johor Bahru,+60 19-754 6410,https://www.springvalleyhomecare.com.my/,,Nursing Home
Summer Eldercare Johor Bahru,Johor,Johor Bahru,+60 17-220 3342,https://summereldercare.my.canva.site/,,Nursing Home
Sunrise Care Centre Sdn Bhd,Johor,Johor Bahru,+60 7-333 7715,https://www.rebinasunrise.com/,,Nursing Home
Woon Ho Family Care Centre,Johor,"Kempas Baru, Johor Bahru",+60 19-952 2567,https://woonhofamilycarecentre.com.my/,,Nursing Home
Yang Xin Nursing Home ,Johor,Johor Bahru,+60 16-768 6682,https://www.facebook.com/profile.php%3Fid%3D100084633097437%26locale%3Dzh_CN,,Nursing Home
AFH Elder Care,Kuala Lumpur,Selangor,03-6243 3824,http://www.afheldercare.com,,Nursing Home
Amitabha Malaysia Old Folks Home KL,Kuala Lumpur,Happy Garden,03-7890 3700,https://www.amitabhamalaysia.org/,,Nursing Home
Bandar Damai Home Care,Kuala Lumpur,Bandar Damai Perdana,#ERROR!,http://bandardamaihomecare.wixsite.com/bandardamaihomecare,,Nursing Home
Dhaalia Elderly Care Centre,Kuala Lumpur,Selangor,03-79814729,https://www.deccmy.com/gallery,,Nursing Home
Homage Malaysia,Kuala Lumpur,Kuala Lumpur (Nationwide),+60 16-299 3863,https://www.homage.com.my,,Home Care
Komune Care Senior Day Club,Kuala Lumpur,Cheras,+60 11-2688 6080,https://www.komunecare.com,,Day Care
Merry Care Desa Jaya Kepong,Kuala Lumpur,Taman Desa Jaya,+6014-636 6884,https://www.elderlycare.my/merry-care/merry-care-desa-jaya-kepong,,
Merry Care Kepong Baru 2,Kuala Lumpur,Kepong Baru,+6014-636 6884,https://www.elderlycare.my/merry-care/merry-care-kepong-baru-2,,Nursing Home
Merry Care Kepong Baru 3,Kuala Lumpur,Taman Kepong,+6014-636 6884,https://www.elderlycare.my/merry-care/merry-care-kepong-baru-3,,
Merry Care Kepong Baru 4,Kuala Lumpur,Kepong Baru,+6014-636 6884,https://www.elderlycare.my/merry-care/merry-care-kepong-baru-4,,
Mintygreen Care Suites - Home Care Nursing Cheras KL,Kuala Lumpur,Phoenix Business Park,+60 11-5587 9788,https://www.mintygreen-wellness.com/,,Nursing Home
PROWELL ELDERLY HOME CARE CENTRE - HQ,Kuala Lumpur,Taman Taynton View,+60 12-530 1478,http://www.pehcc.com.my/,,Nursing Home
Procare Care Centre,Kuala Lumpur,Kuala Lumpur,03-79818522,http://www.procare.com.my,,Nursing Home
ReU Living,Kuala Lumpur,KLCC,+60 3-2181 8888,https://reuliving.com,,Mixed
Rumah Orang Tua Charis,Kuala Lumpur,Taman Lucky,03-77815977,http://www.rumahcharis.org.my/,,Nursing Home
WhereWeCare,Kuala Lumpur,Kuala Lumpur,,https://wherewecare.com,,Home Care
Amazing Grace Caring Home,Selangor,Taman Tan Yew Lai,03-77721161,http://amazinggracecarecentre.com/,,Nursing Home
Bellevue Residential Homecare (M) Sdn Bhd,Selangor,Bukit Gasing,03-79557726,http://bellevuepj.com,,Nursing Home
Care Concierge Malaysia,Selangor,Petaling Jaya,+603 2724 3828,https://www.mycareconcierge.com,,Home Care
Cherish Retirement And Nursing Home,Selangor,Pjs 3,03-7773 2333,http://Cherish%20Retirement%20Home,,Nursing Home
City Home Care Centre,Selangor,Taman Chi Liung,+60 16-612 3368,https://dannycarecentre.wixsite.com/mysite,,Nursing Home
Columbia Asia Extended Care Hospital,Selangor,Section 17,03-5541 7833,http://www.columbiaasia.com/shah-alam,,Nursing Home
Corning Elderly Care Centre,Selangor,Taman Sri Sentosa,03-77730986,https://www.facebook.com/Corning-Elderly-Care-Centre-CECC-Old-Klang-Road-108821406125953/timeline/,,Nursing Home
Felicity Nursing Home,Selangor,Pj Old Town,017-3020285,http://www.felicitynursinghome.com/,,Nursing Home
Genesis Life Care Centre Puchong,Selangor,Taman Perindustrian Puchong,+60 19-759 0457,https://genesiscare.com.my/nursing-home-in-puchong,,Nursing Home
Golden Cares Nursing Home,Selangor,Seksyen 6,03-7955 6525,https://www.facebook.com/goldencaresnursing/,,Nursing Home
Jasper Lodge Nursing Home PJ1,Selangor,"SS 2, Petaling Jaya",+6018-661 1380,https://jasperlodge.com.my/,,Nursing Home
Jasper Lodge Nursing Home PJ2,Selangor,"SS 1, Kampung Tunku, Petaling Jaya",+6018-661 1380,https://jasperlodge.com.my/,,Nursing Home
Jasper Lodge Nursing Home PJ3,Selangor,"SS 2, Petaling Jaya",+6018-661 1380,https://jasperlodge.com.my/,,Nursing Home
Jasper Lodge Nursing Home PJ5,Selangor,"SS 1, Kampung Tunku, Petaling Jaya",+6018-661 1380,https://jasperlodge.com.my/,,Nursing Home
KLC Senior Care Center,Selangor,Selangor,03-21817399,https://klcseniorcare.com/,,Nursing Home
LYC Senior Living Care Center,Selangor,Selangor,03-2602 1994,https://www.lychealth.com/seniorliving/,,Nursing Home
Merry Care Selayang Baru,Selangor,Selayang Baru,+6014-636 6884,https://www.elderlycare.my/merry-care/merry-care-selayang-baru,,
Mintygreen Nursing Home (ElderCare Center),Selangor,Bandar Sungai Long,03-9011 0352,https://www.mintygreen-wellness.com/,,Nursing Home
My Joyful Home Care Centre,Selangor,Ss 19,+60 19-329 3855,https://myjoyfulhome.com.my/,,Nursing Home
My Peaceful Home Care Centre,Selangor,Ss 19,+60 11-1281 2292,https://mypeacefulhome.com.my/,,Nursing Home
My Precious Home Care Retirement Home,Selangor,Kampung Tunku,+60 11-7489 9115,https://myprecioushomecare.com/,,Nursing Home
Noble Care Malaysia Sdn Bhd,Selangor,Usj 9,+60 16-278 6993,https://www.mynoblecare.com,,Nursing Home
PJ Mentalink Care/ PJ Old Folks,Selangor,Seksyen 8 Petaling Jaya,03-7932 1037,http://www.pjmentalinkcare.com/,,Nursing Home
Persatuan Kebajikan Dan Social Kim Loo Ting,Selangor,Taman Ayer Panas,03-40232350,https://www.facebook.com/kimlooting/,,Nursing Home
Pillar Care,Selangor,Petaling Jaya,+60182046966,https://www.pillarcare.com,,Home Care
Pusat Jagaan Mahmudah Malaysia,Selangor,Selangor,03-8723 2394,https://www.facebook.com/pusatjagaanmahmudah/,,Nursing Home
Pusat Jagaan Persatuan Kebajikan Rumah Jagaan VCU Selangor Dan Wilayah Persekutuan Kuala Lumpur,Selangor,Taman Mutiara Barat,03-33725888,http://www.srieden.org/,,Nursing Home
Pusat Jagaan Rumah Amal Murni Kajang,Selangor,Taman Bukit,03-87348124,https://amalmurnikajang.com/,,Nursing Home
Pusat Jagaan Rumah Kebajikan Warga Emas St Mark,Selangor,Kampung Baru Sungai Buloh,03-61433234,https://www.stmarkscozyhome.com/,,Nursing Home
Rumah Victory Elderly Home,Selangor,Taman Bukit Kuchai,03-80802608,http://www.rumahvictory.org.my/,,Nursing Home
Seavoy Nursing Home (Desa Melawati),Selangor,Selangor,03-4108 4740,http://www.seavoynursinghome.com/,,Nursing Home
Seavoy Nursing Home (Taman Setapak Indah),Selangor,Taman Setapak Indah,03-4021 1337,http://seavoynursinghome.com/,,Nursing Home
Sri Sayang Welfare Home,Selangor,Taman Desa Kelisa,03-60753475,http://3.195.211.108/,,Nursing Home
Sri Seronok Retirement Village,Selangor,Taman Sri Bahtera,03-9133 4320,https://cath-link.tripod.com/ss-intro.html,,Nursing Home
Summer Breeze Cottage Caring Home,Selangor,Bukit Gasing,03-7931 8077,https://www.facebook.com/summerbreezecottagecaringhome/,,Nursing Home
Sunway Sanctuary,Selangor,Sunway City,+60 3-7491 9191,https://www.sunwaymedical.com/sunway-sanctuary,,Assisted Living
Than Hsiang Wan Ching Yuen (PJ),Selangor,Seksyen 1,03-77854143,https://kl.thanhsiang.org/zh/mitra-welfare-center/social-welfare/wan-ching-yuen/,,Nursing Home
White Dove Retirement Nursing Home,Selangor,Taman OUG,03-74994943,http://www.whitedove.com.my/,,Nursing Home
